Plant ID;Genotype ID;Days to budding;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue
ARG0248;ARG0248;128;29,59336564;2,1622769;40,89778771;18,91422311;297,8832;4573,3824;56,6424;66,2928;103,3776;107,1888;108,9984;1,644196655;1,6169;1,8251;1,9243;0,0847;0,1766;0,3692;0,4187;0,6719;0,7933;0,8836;0,9101;1,8352;0,3265;248,513;0,41357595;0,319786088;0,266637963
ARG0249;ARG0249;119;29,4022479;3,162173892;39,6884343;12,55099677;464,0352;10698,2784;79,5024;108,204;154,4328;155,9568;163,8912;1,514650105;1,4413;1,9425;1,9612;0,1076;0,1608;0,3616;0,5258;0,7014;0,6754;0,7527;0,8809;1,5109;0,4627;238,37;0,399056089;0,305881613;0,295062298
ARG0250;ARG0250;110;21,94550829;2,609958015;39,93985595;15,30287297;456,3888;9835,6608;87,8832;108,204;141,4776;148,0824;153,1872;1,415725851;1,3685;1,6098;1,6753;0,1097;0,1471;0,3504;0,4755;0,7225;0,756;0,9035;0,8853;1,4667;0,32;242,61;0,409471992;0,310560158;0,27996785
ARG0251;ARG0251;128;28,07266515;3,950717686;43,12948403;10,9168732;391,7808;7098,5664;78,2328;92,4552;118,3632;123,444;128,952;1,394751188;1,3352;1,513;1,67;0,1067;0,1377;0,3503;0,4299;0,6567;0,5402;0,6136;0,8733;0,9776;0,4988;242,932;0,387598176;0,306110352;0,306291473
ARG0252;ARG0252;NA;28,67618534;3,526907924;41,18041043;11,67606621;362,4936;6131,2896;57,4032;72,8976;132,588;133,8576;138,5568;1,90070455;1,8362;2,3097;2,1402;0,0972;0,2208;0,3647;0,4656;0,718;0,7947;0,8875;0,8913;2,2717;0,3644;242,407;0,414864257;0,314759887;0,270375855
ARG0253;ARG0253;139;26,91835148;2,963226189;40,5153894;13,67272925;355,8624;5981,8176;59,436;77,9784;124,7136;131,5728;126,42;1,621218183;1,6873;2,0983;2,1443;0,1191;0,2122;0,3104;0,4595;0,6962;0,7737;0,905;0,8989;2,0833;0,3494;231,089;0,421491287;0,316159575;0,262349138
ARG0254;ARG0254;NA;39,71066368;4,548669854;42,5930565;9,363848744;429,6264;9201,9456;79,5024;97,0272;140,9712;146,5584;153,252;1,579474622;1,5105;1,7732;1,8427;0,0961;0,1661;0,3838;0,4839;0,6768;0,6181;0,712;0,8768;1,2993;0,4629;215,937;0,407836545;0,307737905;0,28442555
ARG0255;ARG0255;113;28,08800916;3,150452628;41,8198594;13,27423844;452,7912;9890,0352;71,8824;105,156;155,9568;158,7504;177,348;1,68652288;1,5097;2,1696;1,9691;0,1169;0,196;0,3177;0,5418;0,7524;0,7821;0,9225;0,8873;2,0678;0,4099;212,826;0,409043068;0,30411228;0,286844652
ARG0256;ARG0256;119;25,35986927;3,103153952;42,15371244;13,58415119;499,5144;12514,0608;98,0448;123,1896;158,7504;171,7032;172,164;1,39755304;1,3938;1,6192;1,6412;0,117;0,1504;0,3171;0,4639;0,7157;0,6726;0,8423;0,8781;1,4188;0,4117;228,769;0,400036718;0,307030236;0,292933046
ARG0257;ARG0257;105;30,37997828;3,238950695;39,9503322;12,33434404;428,7696;9666,3744;77,4696;99,5688;152,1456;153,924;154,4208;1,550895461;1,5459;1,9639;1,8171;0,0991;0,1762;0,3582;0,5084;0,7079;0,7901;0,9318;0,8868;1,9752;0,3936;218,524;0,416883271;0,307201955;0,275914774
ARG0258;ARG0258;118;32,54945436;3,571523601;41,04418418;11,49206579;495,5232;10823,5008;84,0744;109,9824;155,448;163,5768;164,5824;1,496443067;1,4873;1,8489;1,8244;0,1183;0,1802;0,3513;0,5359;0,6903;0,7714;0,8748;0,9051;1,7714;0,3498;206,013;0,430773786;0,313489925;0,255736288
