ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
ARG0108,nan,ARG0108_leafbottom,ARG0108_leaftop,ARG0108_plantside,ARG0108_planttop,ARG0108_primarybranch,nan,ARG0108_leafstrip
ARG0109,nan,ARG0109_leafbottom,ARG0109_leaftop,ARG0109_plantside,ARG0109_planttop,ARG0109_primarybranch,nan,ARG0109_leafstrip
ARG0110,nan,ARG0110_leafbottom,ARG0110_leaftop,ARG0110_plantside,ARG0110_planttop,ARG0110_primarybranch,nan,ARG0110_leafstrip
ARG0111,nan,ARG0111_leafbottom,ARG0111_leaftop,ARG0111_plantside,ARG0111_planttop,ARG0111_primarybranch,nan,ARG0111_leafstrip
ARG0112,nan,ARG0112_leafbottom,ARG0112_leaftop,ARG0112_plantside,ARG0112_planttop,ARG0112_primarybranch,nan,ARG0112_leafstrip
ARG0113,nan,ARG0113_leafbottom,ARG0113_leaftop,ARG0113_plantside,ARG0113_planttop,ARG0113_primarybranch,nan,ARG0113_leafstrip
ARG0114,nan,ARG0114_leafbottom,ARG0114_leaftop,ARG0114_plantside,ARG0114_planttop,ARG0114_primarybranch,nan,ARG0114_leafstrip
ARG0115,nan,ARG0115_leafbottom,ARG0115_leaftop,ARG0115_plantside,ARG0115_planttop,ARG0115_primarybranch,nan,ARG0115_leafstrip
ARG0116,nan,ARG0116_leafbottom,ARG0116_leaftop,ARG0116_plantside,ARG0116_planttop,ARG0116_primarybranch,nan,ARG0116_leafstrip
ARG0117,nan,ARG0117_leafbottom,ARG0117_leaftop,ARG0117_plantside,ARG0117_planttop,ARG0117_primarybranch,nan,ARG0117_leafstrip
ARG0118,nan,ARG0118_leafbottom,ARG0118_leaftop,ARG0118_plantside,ARG0118_planttop,ARG0118_primarybranch,nan,ARG0118_leafstrip
ARG0119,nan,ARG0119_leafbottom,ARG0119_leaftop,ARG0119_plantside,ARG0119_planttop,ARG0119_primarybranch,nan,ARG0119_leafstrip
ARG0120,nan,ARG0120_leafbottom,ARG0120_leaftop,ARG0120_plantside,ARG0120_planttop,ARG0120_primarybranch,nan,ARG0120_leafstrip
ARG0121,ARG0121_flower,ARG0121_leafbottom,ARG0121_leaftop,ARG0121_plantside,ARG0121_planttop,ARG0121_primarybranch,nan,ARG0121_leafstrip
ARG0122,ARG0122_flower,ARG0122_leafbottom,ARG0122_leaftop,ARG0122_plantside,ARG0122_planttop,ARG0122_primarybranch,nan,ARG0122_leafstrip
ARG0123,ARG0123_flower,ARG0123_leafbottom,ARG0123_leaftop,ARG0123_plantside,ARG0123_planttop,ARG0123_primarybranch,nan,ARG0123_leafstrip
ARG0124,ARG0124_flower,ARG0124_leafbottom,ARG0124_leaftop,ARG0124_plantside,ARG0124_planttop,ARG0124_primarybranch,nan,ARG0124_leafstrip
ARG0125,ARG0125_flower,ARG0125_leafbottom,ARG0125_leaftop,ARG0125_plantside,ARG0125_planttop,ARG0125_primarybranch,nan,ARG0125_leafstrip
ARG0126,ARG0126_flower,ARG0126_leafbottom,ARG0126_leaftop,ARG0126_plantside,ARG0126_planttop,ARG0126_primarybranch,nan,ARG0126_leafstrip
ARG0127,ARG0127_flower,ARG0127_leafbottom,ARG0127_leaftop,ARG0127_plantside,ARG0127_planttop,ARG0127_primarybranch,nan,ARG0127_leafstrip
ARG0128,ARG0128_flower,ARG0128_leafbottom,ARG0128_leaftop,ARG0128_plantside,ARG0128_planttop,ARG0128_primarybranch,nan,ARG0128_leafstrip
ARG0129,nan,ARG0129_leafbottom,ARG0129_leaftop,ARG0129_plantside,ARG0129_planttop,ARG0129_primarybranch,nan,ARG0129_leafstrip
ARG0130,ARG0130_flower,ARG0130_leafbottom,ARG0130_leaftop,ARG0130_plantside,ARG0130_planttop,ARG0130_primarybranch,nan,ARG0130_leafstrip
ARG0131,nan,ARG0131_leafbottom,ARG0131_leaftop,ARG0131_plantside,ARG0131_planttop,ARG0131_primarybranch,nan,ARG0131_leafstrip
ARG0132,ARG0132_flower,ARG0132_leafbottom,ARG0132_leaftop,ARG0132_plantside,ARG0132_planttop,ARG0132_primarybranch,nan,ARG0132_leafstrip
ARG0133,nan,ARG0133_leafbottom,ARG0133_leaftop,ARG0133_plantside,ARG0133_planttop,ARG0133_primarybranch,nan,ARG0133_leafstrip
ARG0134,ARG0134_flower,ARG0134_leafbottom,ARG0134_leaftop,ARG0134_plantside,ARG0134_planttop,ARG0134_primarybranch,nan,ARG0134_leafstrip
ARG0135,nan,ARG0135_leafbottom,ARG0135_leaftop,ARG0135_plantside,ARG0135_planttop,ARG0135_primarybranch,nan,ARG0135_leafstrip
ARG0136,nan,ARG0136_leafbottom,ARG0136_leaftop,ARG0136_plantside,ARG0136_planttop,ARG0136_primarybranch,nan,ARG0136_leafstrip
ARG0137,nan,ARG0137_leafbottom,ARG0137_leaftop,ARG0137_plantside,ARG0137_planttop,ARG0137_primarybranch,nan,ARG0137_leafstrip
ARG0138,nan,ARG0138_leafbottom,ARG0138_leaftop,ARG0138_plantside,ARG0138_planttop,ARG0138_primarybranch,nan,nan
ARG0139,nan,ARG0139_leafbottom,ARG0139_leaftop,ARG0139_plantside,ARG0139_planttop,ARG0139_primarybranch,nan,ARG0139_leafstrip
ARG0140,ARG0140_flower,ARG0140_leafbottom,ARG0140_leaftop,ARG0140_plantside,ARG0140_planttop,ARG0140_primarybranch,nan,ARG0140_leafstrip
ARG0141,nan,ARG0141_leafbottom,ARG0141_leaftop,ARG0141_plantside,ARG0141_planttop,ARG0141_primarybranch,nan,ARG0141_leafstrip
ARG0142,ARG0142_flower,ARG0142_leafbottom,ARG0142_leaftop,ARG0142_plantside,ARG0142_planttop,ARG0142_primarybranch,nan,ARG0142_leafstrip
ARG0143,ARG0143_flower,ARG0143_leafbottom,ARG0143_leaftop,ARG0143_plantside,ARG0143_planttop,ARG0143_primarybranch,nan,ARG0143_leafstrip
ARG0144,nan,ARG0144_leafbottom,ARG0144_leaftop,ARG0144_plantside,ARG0144_planttop,ARG0144_primarybranch,nan,ARG0144_leafstrip
ARG0145,ARG0145_flower,ARG0145_leafbottom,ARG0145_leaftop,ARG0145_plantside,ARG0145_planttop,ARG0145_primarybranch,nan,ARG0145_leafstrip
ARG0146,nan,ARG0146_leafbottom,ARG0146_leaftop,ARG0146_plantside,ARG0146_planttop,ARG0146_primarybranch,nan,ARG0146_leafstrip
ARG0147,ARG0147_flower,ARG0147_leafbottom,ARG0147_leaftop,ARG0147_plantside,ARG0147_planttop,ARG0147_primarybranch,nan,ARG0147_leafstrip
ARG0148,nan,ARG0148_leafbottom,ARG0148_leaftop,ARG0148_plantside,ARG0148_planttop,ARG0148_primarybranch,nan,ARG0148_leafstrip
